2025-01-11 03:05:14 postgres_entrypoint  | [NOTICE]   (1) : New worker (7) forked
2025-01-11 03:06:12 pg-slave             | 2025-01-10 20:06:12,808 INFO: Zookeeper connection established, state: CONNECTED
2025-01-11 03:06:12 pg-slave             | 2025-01-10 20:06:12,878 INFO: No PostgreSQL configuration items changed, nothing to reload.
2025-01-11 03:06:13 pg-slave             | 2025-01-10 20:06:13,364 INFO: Lock owner: None; I am postgresql1
2025-01-11 03:06:13 pg-slave             | 2025-01-10 20:06:13,380 ERROR: Failed to create /service/my_cluster/initialize
2025-01-11 03:06:13 pg-slave             | Traceback (most recent call last):
2025-01-11 03:06:13 pg-slave             |   File "/opt/patroni-venv/lib/python3.11/site-packages/patroni/dcs/zookeeper.py", line 295, in _create
2025-01-11 03:06:13 pg-slave             |     self._client.retry(self._client.create, path, value, makepath=True, ephemeral=ephemeral)
2025-01-11 03:06:13 pg-slave             |   File "/opt/patroni-venv/lib/python3.11/site-packages/kazoo/client.py", line 372, in _retry
2025-01-11 03:06:13 pg-slave             |     return self._retry.copy()(*args, **kwargs)
2025-01-11 03:06:13 pg-slave             |            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2025-01-11 03:06:13 pg-slave             |   File "/opt/patroni-venv/lib/python3.11/site-packages/kazoo/retry.py", line 132, in __call__
2025-01-11 03:06:13 pg-slave             |     return func(*args, **kwargs)
2025-01-11 03:06:13 pg-slave             |            ^^^^^^^^^^^^^^^^^^^^^
2025-01-11 03:06:13 pg-slave             |   File "/opt/patroni-venv/lib/python3.11/site-packages/kazoo/client.py", line 1007, in create
2025-01-11 03:06:13 pg-slave             |     ).get()
2025-01-11 03:06:13 pg-slave             |       ^^^^^
2025-01-11 03:06:13 pg-slave             |   File "/opt/patroni-venv/lib/python3.11/site-packages/kazoo/handlers/utils.py", line 78, in get
2025-01-11 03:06:13 pg-slave             |     raise self._exception
2025-01-11 03:06:13 pg-slave             |   File "/opt/patroni-venv/lib/python3.11/site-packages/kazoo/handlers/utils.py", line 299, in captured_function
2025-01-11 03:06:13 pg-slave             |     return function(*args, **kwargs)
2025-01-11 03:06:13 pg-slave             |            ^^^^^^^^^^^^^^^^^^^^^^^^^
2025-01-11 03:06:13 pg-slave             |   File "/opt/patroni-venv/lib/python3.11/site-packages/kazoo/handlers/utils.py", line 320, in captured_function
2025-01-11 03:06:13 pg-slave             |     value = function(*args, **kwargs)
2025-01-11 03:06:13 pg-slave             |             ^^^^^^^^^^^^^^^^^^^^^^^^^
2025-01-11 03:06:13 pg-slave             |   File "/opt/patroni-venv/lib/python3.11/site-packages/kazoo/client.py", line 1085, in create_completion
2025-01-11 03:06:13 pg-slave             |     return self.unchroot(result.get())
2025-01-11 03:06:13 pg-slave             |                          ^^^^^^^^^^^^
2025-01-11 03:06:13 pg-slave             |   File "/opt/patroni-venv/lib/python3.11/site-packages/kazoo/handlers/utils.py", line 72, in get
2025-01-11 03:06:13 pg-slave             |     raise self._exception
2025-01-11 03:06:13 pg-slave             | kazoo.exceptions.NodeExistsError
2025-01-11 03:06:13 pg-slave             | 2025-01-10 20:06:13,417 INFO: failed to acquire initialize lock
2025-01-11 03:06:22 pg-slave             | 2025-01-10 20:06:22,971 INFO: Lock owner: postgresql0; I am postgresql1
2025-01-11 03:06:22 pg-slave             | 2025-01-10 20:06:22,973 INFO: trying to bootstrap from leader 'postgresql0'
2025-01-11 03:06:23 pg-slave             | WARNING:  skipping special file "./.s.PGSQL.5432"
2025-01-11 03:06:23 pg-slave             | WARNING:  skipping special file "./.s.PGSQL.5432"
2025-01-11 03:06:23 pg-slave             | 2025-01-10 20:06:23,899 INFO: replica has been created using basebackup
2025-01-11 03:06:23 pg-slave             | 2025-01-10 20:06:23,903 INFO: bootstrapped from leader 'postgresql0'
2025-01-11 03:06:24 pg-slave             | 2025-01-10 20:06:24,309 INFO: postmaster pid=25
2025-01-11 03:06:24 pg-slave             | localhost:5432 - no response
2025-01-11 03:06:24 pg-slave             | 2025-01-10 20:06:24.377 UTC [25] LOG:  starting PostgreSQL 15.9 (Debian 15.9-1.pgdg120+1) on aarch64-unknown-linux-gnu, compiled by gcc (Debian 12.2.0-14) 12.2.0, 64-bit
2025-01-11 03:06:24 pg-slave             | 2025-01-10 20:06:24.377 UTC [25] LOG:  listening on IPv4 address "0.0.0.0", port 5432
2025-01-11 03:06:24 pg-slave             | 2025-01-10 20:06:24.379 UTC [25] LOG:  listening on Unix socket "./.s.PGSQL.5432"
2025-01-11 03:06:24 pg-slave             | 2025-01-10 20:06:24.382 UTC [29] LOG:  database system was interrupted; last known up at 2025-01-10 20:06:23 UTC
2025-01-11 03:06:24 pg-slave             | 2025-01-10 20:06:24.451 UTC [29] LOG:  entering standby mode
2025-01-11 03:06:24 pg-slave             | 2025-01-10 20:06:24.452 UTC [29] LOG:  starting backup recovery with redo LSN 0/2000028, checkpoint LSN 0/2000060, on timeline ID 1
2025-01-11 03:06:24 pg-slave             | 2025-01-10 20:06:24.454 UTC [29] LOG:  redo starts at 0/2000028
2025-01-11 03:06:24 pg-slave             | 2025-01-10 20:06:24.455 UTC [29] LOG:  completed backup recovery with redo LSN 0/2000028 and end LSN 0/2000100
2025-01-11 03:06:24 pg-slave             | 2025-01-10 20:06:24.455 UTC [29] LOG:  consistent recovery state reached at 0/2000100
2025-01-11 03:06:24 pg-slave             | 2025-01-10 20:06:24.455 UTC [25] LOG:  database system is ready to accept read-only connections
2025-01-11 03:06:24 pg-slave             | 2025-01-10 20:06:24.469 UTC [31] FATAL:  could not start WAL streaming: ERROR:  replication slot "postgresql1" does not exist
2025-01-11 03:06:24 pg-slave             | 2025-01-10 20:06:24.483 UTC [32] FATAL:  could not start WAL streaming: ERROR:  replication slot "postgresql1" does not exist
2025-01-11 03:06:24 pg-slave             | 2025-01-10 20:06:24.483 UTC [29] LOG:  waiting for WAL to become available at 0/3000018
2025-01-11 03:06:25 pg-slave             | localhost:5432 - accepting connections
2025-01-11 03:06:25 pg-slave             | localhost:5432 - accepting connections
2025-01-11 03:06:25 pg-slave             | 2025-01-10 20:06:25,405 INFO: Reaped pid=37, exit status=0
2025-01-11 03:06:25 pg-slave             | 2025-01-10 20:06:25,406 INFO: Lock owner: postgresql0; I am postgresql1
2025-01-11 03:06:25 pg-slave             | 2025-01-10 20:06:25,406 INFO: establishing a new patroni heartbeat connection to postgres
2025-01-11 03:06:25 pg-slave             | 2025-01-10 20:06:25,453 INFO: no action. I am (postgresql1), a secondary, and following a leader (postgresql0)
2025-01-11 03:06:26 pg-slave             | 2025-01-10 20:06:26,645 INFO: establishing a new patroni restapi connection to postgres
2025-01-11 03:06:29 pg-slave             | 2025-01-10 20:06:29.544 UTC [43] LOG:  started streaming WAL from primary at 0/3000000 on timeline 1
2025-01-11 03:06:35 pg-slave             | 2025-01-10 20:06:35,444 INFO: no action. I am (postgresql1), a secondary, and following a leader (postgresql0)
2025-01-11 03:06:45 pg-slave             | 2025-01-10 20:06:45,437 INFO: no action. I am (postgresql1), a secondary, and following a leader (postgresql0)
2025-01-11 03:06:55 pg-slave             | 2025-01-10 20:06:55,443 INFO: no action. I am (postgresql1), a secondary, and following a leader (postgresql0)
2025-01-11 03:07:05 pg-slave             | 2025-01-10 20:07:05,431 INFO: no action. I am (postgresql1), a secondary, and following a leader (postgresql0)
2025-01-11 03:07:15 pg-slave             | 2025-01-10 20:07:15,437 INFO: no action. I am (postgresql1), a secondary, and following a leader (postgresql0)
2025-01-11 03:07:25 pg-slave             | 2025-01-10 20:07:25,430 INFO: no action. I am (postgresql1), a secondary, and following a leader (postgresql0)
2025-01-11 03:07:35 pg-slave             | 2025-01-10 20:07:35,441 INFO: no action. I am (postgresql1), a secondary, and following a leader (postgresql0)
2025-01-11 03:07:45 pg-slave             | 2025-01-10 20:07:45,428 INFO: no action. I am (postgresql1), a secondary, and following a leader (postgresql0)
2025-01-11 03:07:55 pg-slave             | 2025-01-10 20:07:55,444 INFO: no action. I am (postgresql1), a secondary, and following a leader (postgresql0)
2025-01-11 03:08:05 pg-slave             | 2025-01-10 20:08:05,433 INFO: no action. I am (postgresql1), a secondary, and following a leader (postgresql0)
2025-01-11 03:08:15 pg-slave             | 2025-01-10 20:08:15,438 INFO: no action. I am (postgresql1), a secondary, and following a leader (postgresql0)
2025-01-11 03:08:25 pg-slave             | 2025-01-10 20:08:25,435 INFO: no action. I am (postgresql1), a secondary, and following a leader (postgresql0)
2025-01-11 03:08:35 pg-slave             | 2025-01-10 20:08:35,432 INFO: no action. I am (postgresql1), a secondary, and following a leader (postgresql0)
2025-01-11 03:08:45 pg-slave             | 2025-01-10 20:08:45,429 INFO: no action. I am (postgresql1), a secondary, and following a leader (postgresql0)
2025-01-11 03:02:43 zoo                  | ===> User
2025-01-11 03:02:43 zoo                  | uid=1000(appuser) gid=1000(appuser) groups=1000(appuser)
2025-01-11 03:02:43 zoo                  | ===> Configuring ...
2025-01-11 03:02:49 zoo                  | ===> Running preflight checks ... 
2025-01-11 03:02:49 zoo                  | ===> Check if /var/lib/zookeeper/data is writable ...
2025-01-11 03:02:50 zoo                  | ===> Check if /var/lib/zookeeper/log is writable ...
2025-01-11 03:02:51 zoo                  | ===> Launching ... 
2025-01-11 03:02:51 zoo                  | ===> Launching zookeeper ... 
2025-01-11 03:02:53 zoo                  | [2025-01-10 20:02:53,465] INFO Reading configuration from: /etc/kafka/zookeeper.properties (org.apache.zookeeper.server.quorum.QuorumPeerConfig)
2025-01-11 03:02:53 zoo                  | [2025-01-10 20:02:53,487] INFO clientPortAddress is 0.0.0.0:2181 (org.apache.zookeeper.server.quorum.QuorumPeerConfig)
2025-01-11 03:02:53 zoo                  | [2025-01-10 20:02:53,487] INFO secureClientPort is not set (org.apache.zookeeper.server.quorum.QuorumPeerConfig)
2025-01-11 03:02:53 zoo                  | [2025-01-10 20:02:53,487] INFO observerMasterPort is not set (org.apache.zookeeper.server.quorum.QuorumPeerConfig)
2025-01-11 03:02:53 zoo                  | [2025-01-10 20:02:53,487] INFO metricsProvider.className is org.apache.zookeeper.metrics.impl.DefaultMetricsProvider (org.apache.zookeeper.server.quorum.QuorumPeerConfig)
2025-01-11 03:02:53 zoo                  | [2025-01-10 20:02:53,497] INFO autopurge.snapRetainCount set to 3 (org.apache.zookeeper.server.DatadirCleanupManager)
2025-01-11 03:02:53 zoo                  | [2025-01-10 20:02:53,498] INFO autopurge.purgeInterval set to 0 (org.apache.zookeeper.server.DatadirCleanupManager)
2025-01-11 03:02:53 zoo                  | [2025-01-10 20:02:53,498] INFO Purge task is not scheduled. (org.apache.zookeeper.server.DatadirCleanupManager)
2025-01-11 03:02:53 zoo                  | [2025-01-10 20:02:53,498] WARN Either no config or no quorum defined in config, running in standalone mode (org.apache.zookeeper.server.quorum.QuorumPeerMain)
2025-01-11 03:02:53 zoo                  | [2025-01-10 20:02:53,501] INFO Log4j 1.2 jmx support not found; jmx disabled. (org.apache.zookeeper.jmx.ManagedUtil)
2025-01-11 03:02:53 zoo                  | [2025-01-10 20:02:53,503] INFO Reading configuration from: /etc/kafka/zookeeper.properties (org.apache.zookeeper.server.quorum.QuorumPeerConfig)
2025-01-11 03:02:53 zoo                  | [2025-01-10 20:02:53,505] INFO clientPortAddress is 0.0.0.0:2181 (org.apache.zookeeper.server.quorum.QuorumPeerConfig)
2025-01-11 03:02:53 zoo                  | [2025-01-10 20:02:53,505] INFO secureClientPort is not set (org.apache.zookeeper.server.quorum.QuorumPeerConfig)
2025-01-11 03:02:53 zoo                  | [2025-01-10 20:02:53,505] INFO observerMasterPort is not set (org.apache.zookeeper.server.quorum.QuorumPeerConfig)
2025-01-11 03:02:53 zoo                  | [2025-01-10 20:02:53,505] INFO metricsProvider.className is org.apache.zookeeper.metrics.impl.DefaultMetricsProvider (org.apache.zookeeper.server.quorum.QuorumPeerConfig)
2025-01-11 03:02:53 zoo                  | [2025-01-10 20:02:53,505] INFO Starting server (org.apache.zookeeper.server.ZooKeeperServerMain)
2025-01-11 03:02:53 zoo                  | [2025-01-10 20:02:53,552] INFO ServerMetrics initialized with provider org.apache.zookeeper.metrics.impl.DefaultMetricsProvider@1b083826 (org.apache.zookeeper.server.ServerMetrics)
2025-01-11 03:02:53 zoo                  | [2025-01-10 20:02:53,563] INFO ACL digest algorithm is: SHA1 (org.apache.zookeeper.server.auth.DigestAuthenticationProvider)
2025-01-11 03:02:53 zoo                  | [2025-01-10 20:02:53,564] INFO zookeeper.DigestAuthenticationProvider.enabled = true (org.apache.zookeeper.server.auth.DigestAuthenticationProvider)
2025-01-11 03:02:53 zoo                  | [2025-01-10 20:02:53,572] INFO zookeeper.snapshot.trust.empty : false (org.apache.zookeeper.server.persistence.FileTxnSnapLog)
2025-01-11 03:02:53 zoo                  | [2025-01-10 20:02:53,620] INFO  (org.apache.zookeeper.server.ZooKeeperServer)
2025-01-11 03:02:53 zoo                  | [2025-01-10 20:02:53,621] INFO   ______                  _                                           (org.apache.zookeeper.server.ZooKeeperServer)
2025-01-11 03:02:53 zoo                  | [2025-01-10 20:02:53,621] INFO  |___  /                 | |                                          (org.apache.zookeeper.server.ZooKeeperServer)
2025-01-11 03:02:53 zoo                  | [2025-01-10 20:02:53,622] INFO     / /    ___     ___   | | __   ___    ___   _ __     ___   _ __    (org.apache.zookeeper.server.ZooKeeperServer)
2025-01-11 03:02:53 zoo                  | [2025-01-10 20:02:53,622] INFO    / /    / _ \   / _ \  | |/ /  / _ \  / _ \ | '_ \   / _ \ | '__| (org.apache.zookeeper.server.ZooKeeperServer)
2025-01-11 03:02:53 zoo                  | [2025-01-10 20:02:53,622] INFO   / /__  | (_) | | (_) | |   <  |  __/ |  __/ | |_) | |  __/ | |     (org.apache.zookeeper.server.ZooKeeperServer)
2025-01-11 03:02:53 zoo                  | [2025-01-10 20:02:53,622] INFO  /_____|  \___/   \___/  |_|\_\  \___|  \___| | .__/   \___| |_| (org.apache.zookeeper.server.ZooKeeperServer)
2025-01-11 03:02:53 zoo                  | [2025-01-10 20:02:53,622] INFO                                               | |                      (org.apache.zookeeper.server.ZooKeeperServer)
2025-01-11 03:02:53 zoo                  | [2025-01-10 20:02:53,622] INFO                                               |_|                      (org.apache.zookeeper.server.ZooKeeperServer)
2025-01-11 03:02:53 zoo                  | [2025-01-10 20:02:53,622] INFO  (org.apache.zookeeper.server.ZooKeeperServer)
2025-01-11 03:02:53 zoo                  | [2025-01-10 20:02:53,645] INFO Server environment:zookeeper.version=3.8.4-9316c2a7a97e1666d8f4593f34dd6fc36ecc436c, built on 2024-02-12 22:16 UTC (org.apache.zookeeper.server.ZooKeeperServer)
2025-01-11 03:02:53 zoo                  | [2025-01-10 20:02:53,646] INFO Server environment:host.name=zoo (org.apache.zookeeper.server.ZooKeeperServer)
2025-01-11 03:02:53 zoo                  | [2025-01-10 20:02:53,646] INFO Server environment:java.version=17.0.12 (org.apache.zookeeper.server.ZooKeeperServer)
2025-01-11 03:02:53 zoo                  | [2025-01-10 20:02:53,647] INFO Server environment:java.vendor=Azul Systems, Inc. (org.apache.zookeeper.server.ZooKeeperServer)
2025-01-11 03:02:53 zoo                  | [2025-01-10 20:02:53,648] INFO Server environment:java.home=/usr/lib/jvm/java-17-zulu-openjdk-ca (org.apache.zookeeper.server.ZooKeeperServer)
2025-01-11 03:02:53 zoo                  | [2025-01-10 20:02:53,650] INFO Server environment:java.class.path=/usr/bin/../share/java/kafka/kafka-streams-examples-7.7.1-ccs.jar:/usr/bin/../share/java/kafka/jetty-util-9.4.54.v20240208.jar:/usr/bin/../share/java/kafka/connect-transforms-7.7.1-ccs.jar:/usr/bin/../share/java/kafka/connect-api-7.7.1-ccs.jar:/usr/bin/../share/java/kafka/osgi-resource-locator-1.0.3.jar:/usr/bin/../share/java/kafka/jetty-server-9.4.54.v20240208.jar:/usr/bin/../share/java/kafka/hk2-api-2.6.1.jar:/usr/bin/../share/java/kafka/kafka-group-coordinator-7.7.1-ccs.jar:/usr/bin/../share/java/kafka/netty-transport-native-unix-common-4.1.110.Final.jar:/usr/bin/../share/java/kafka/snappy-java-1.1.10.5.jar:/usr/bin/../share/java/kafka/kafka-tools-7.7.1-ccs.jar:/usr/bin/../share/java/kafka/netty-buffer-4.1.110.Final.jar:/usr/bin/../share/java/kafka/kafka-server-7.7.1-ccs.jar:/usr/bin/../share/java/kafka/commons-cli-1.4.jar:/usr/bin/../share/java/kafka/hk2-locator-2.6.1.jar:/usr/bin/../share/java/kafka/activation-1.1.1.jar:/usr/bin/../share/java/kafka/jersey-common-2.39.1.jar:/usr/bin/../share/java/kafka/connect-mirror-7.7.1-ccs.jar:/usr/bin/../share/java/kafka/metrics-core-2.2.0.jar:/usr/bin/../share/java/kafka/netty-handler-4.1.110.Final.jar:/usr/bin/../share/java/kafka/javassist-3.29.2-GA.jar:/usr/bin/../share/java/kafka/aopalliance-repackaged-2.6.1.jar:/usr/bin/../share/java/kafka/protobuf-java-3.23.4.jar:/usr/bin/../share/java/kafka/scala-collection-compat_2.13-2.10.0.jar:/usr/bin/../share/java/kafka/jackson-core-2.16.2.jar:/usr/bin/../share/java/kafka/jackson-jaxrs-base-2.16.2.jar:/usr/bin/../share/java/kafka/jetty-util-ajax-9.4.54.v20240208.jar:/usr/bin/../share/java/kafka/lz4-java-1.8.0.jar:/usr/bin/../share/java/kafka/netty-resolver-4.1.110.Final.jar:/usr/bin/../share/java/kafka/commons-digester-2.1.jar:/usr/bin/../share/java/kafka/jetty-io-9.4.54.v20240208.jar:/usr/bin/../share/java/kafka/reflections-0.10.2.jar:/usr/bin/../share/java/kafka/reload4j-1.2.25.jar:/usr/bin/../share/java/kafka/commons-logging-1.2.jar:/usr/bin/../share/java/kafka/error_prone_annotations-2.10.0.jar:/usr/bin/../share/java/kafka/jaxb-api-2.3.1.jar:/usr/bin/../share/java/kafka/kafka-clients-7.7.1-ccs.jar:/usr/bin/../share/java/kafka/jackson-dataformat-csv-2.16.2.jar:/usr/bin/../share/java/kafka/jackson-annotations-2.16.2.jar:/usr/bin/../share/java/kafka/jopt-simple-5.0.4.jar:/usr/bin/../share/java/kafka/audience-annotations-0.12.0.jar:/usr/bin/../share/java/kafka/jersey-hk2-2.39.1.jar:/usr/bin/../share/java/kafka/kafka-streams-7.7.1-ccs.jar:/usr/bin/../share/java/kafka/jetty-security-9.4.54.v20240208.jar:/usr/bin/../share/java/kafka/jersey-client-2.39.1.jar:/usr/bin/../share/java/kafka/caffeine-2.9.3.jar:/usr/bin/../share/java/kafka/kafka-shell-7.7.1-ccs.jar:/usr/bin/../share/java/kafka/jetty-client-9.4.54.v20240208.jar:/usr/bin/../share/java/kafka/metrics-core-4.1.12.1.jar:/usr/bin/../share/java/kafka/pcollections-4.0.1.jar:/usr/bin/../share/java/kafka/commons-io-2.11.0.jar:/usr/bin/../share/java/kafka/scala-logging_2.13-3.9.4.jar:/usr/bin/../share/java/kafka/connect-basic-auth-extension-7.7.1-ccs.jar:/usr/bin/../share/java/kafka/jackson-databind-2.16.2.jar:/usr/bin/../share/java/kafka/kafka-log4j-appender-7.7.1-ccs.jar:/usr/bin/../share/java/kafka/jsr305-3.0.2.jar:/usr/bin/../share/java/kafka/jetty-servlet-9.4.54.v20240208.jar:/usr/bin/../share/java/kafka/trogdor-7.7.1-ccs.jar:/usr/bin/../share/java/kafka/kafka-streams-test-utils-7.7.1-ccs.jar:/usr/bin/../share/java/kafka/jersey-container-servlet-2.39.1.jar:/usr/bin/../share/java/kafka/zookeeper-jute-3.8.4.jar:/usr/bin/../share/java/kafka/kafka-tools-api-7.7.1-ccs.jar:/usr/bin/../share/java/kafka/jakarta.ws.rs-api-2.1.6.jar:/usr/bin/../share/java/kafka/jakarta.annotation-api-1.3.5.jar:/usr/bin/../share/java/kafka/jakarta.activation-api-1.2.2.jar:/usr/bin/../share/java/kafka/kafka-server-common-7.7.1-ccs.jar:/usr/bin/../share/java/kafka/connect-json-7.7.1-ccs.jar:/usr/bin/../share/java/kafka/jersey-server-2.39.1.jar:/usr/bin/../share/java/kafka/netty-common-4.1.110.Final.jar:/usr/bin/../share/java/kafka/kafka_2.13-7.7.1-ccs.jar:/usr/bin/../share/java/kafka/connect-runtime-7.7.1-ccs.jar:/usr/bin/../share/java/kafka/connect-mirror-client-7.7.1-ccs.jar:/usr/bin/../share/java/kafka/netty-transport-native-epoll-4.1.110.Final.jar:/usr/bin/../share/java/kafka/jakarta.xml.bind-api-2.3.3.jar:/usr/bin/../share/java/kafka/kafka-storage-7.7.1-ccs.jar:/usr/bin/../share/java/kafka/jackson-module-jaxb-annotations-2.16.2.jar:/usr/bin/../share/java/kafka/zstd-jni-1.5.6-4.jar:/usr/bin/../share/java/kafka/netty-transport-classes-epoll-4.1.110.Final.jar:/usr/bin/../share/java/kafka/jersey-container-servlet-core-2.39.1.jar:/usr/bin/../share/java/kafka/hk2-utils-2.6.1.jar:/usr/bin/../share/java/kafka/scala-java8-compat_2.13-1.0.2.jar:/usr/bin/../share/java/kafka/jline-3.25.1.jar:/usr/bin/../share/java/kafka/scala-reflect-2.13.12.jar:/usr/bin/../share/java/kafka/zookeeper-3.8.4.jar:/usr/bin/../share/java/kafka/jackson-jaxrs-json-provider-2.16.2.jar:/usr/bin/../share/java/kafka/javax.activation-api-1.2.0.jar:/usr/bin/../share/java/kafka/kafka-metadata-7.7.1-ccs.jar:/usr/bin/../share/java/kafka/jetty-http-9.4.54.v20240208.jar:/usr/bin/../share/java/kafka/commons-validator-1.7.jar:/usr/bin/../share/java/kafka/commons-collections-3.2.2.jar:/usr/bin/../share/java/kafka/jose4j-0.9.4.jar:/usr/bin/../share/java/kafka/kafka-storage-api-7.7.1-ccs.jar:/usr/bin/../share/java/kafka/netty-codec-4.1.110.Final.jar:/usr/bin/../share/java/kafka/maven-artifact-3.8.8.jar:/usr/bin/../share/java/kafka/checker-qual-3.19.0.jar:/usr/bin/../share/java/kafka/javax.servlet-api-3.1.0.jar:/usr/bin/../share/java/kafka/kafka-raft-7.7.1-ccs.jar:/usr/bin/../share/java/kafka/jackson-module-scala_2.13-2.16.2.jar:/usr/bin/../share/java/kafka/jakarta.inject-2.6.1.jar:/usr/bin/../share/java/kafka/slf4j-reload4j-1.7.36.jar:/usr/bin/../share/java/kafka/commons-beanutils-1.9.4.jar:/usr/bin/../share/java/kafka/jetty-servlets-9.4.54.v20240208.jar:/usr/bin/../share/java/kafka/kafka-streams-scala_2.13-7.7.1-ccs.jar:/usr/bin/../share/java/kafka/kafka.jar:/usr/bin/../share/java/kafka/jakarta.validation-api-2.0.2.jar:/usr/bin/../share/java/kafka/commons-lang3-3.8.1.jar:/usr/bin/../share/java/kafka/jetty-continuation-9.4.54.v20240208.jar:/usr/bin/../share/java/kafka/rocksdbjni-7.9.2.jar:/usr/bin/../share/java/kafka/netty-transport-4.1.110.Final.jar:/usr/bin/../share/java/kafka/swagger-annotations-2.2.8.jar:/usr/bin/../share/java/kafka/jackson-datatype-jdk8-2.16.2.jar:/usr/bin/../share/java/kafka/javax.annotation-api-1.3.2.jar:/usr/bin/../share/java/kafka/argparse4j-0.7.0.jar:/usr/bin/../share/java/kafka/paranamer-2.8.jar:/usr/bin/../share/java/kafka/scala-library-2.13.12.jar:/usr/bin/../share/java/kafka/slf4j-api-1.7.36.jar:/usr/bin/../share/java/kafka/plexus-utils-3.3.1.jar:/usr/bin/../share/java/kafka/opentelemetry-proto-1.0.0-alpha.jar:/usr/bin/../share/java/kafka/javax.ws.rs-api-2.1.1.jar:/usr/bin/../share/java/confluent-telemetry/* (org.apache.zookeeper.server.ZooKeeperServer)
2025-01-11 03:06:12 pg-master            | 2025-01-10 20:06:12,569 INFO: Connecting to zoo(172.20.0.2):2181, use_ssl: False
2025-01-11 03:06:12 pg-master            | 2025-01-10 20:06:12,804 INFO: Zookeeper connection established, state: CONNECTED
2025-01-11 03:06:12 pg-master            | 2025-01-10 20:06:12,861 INFO: No PostgreSQL configuration items changed, nothing to reload.
2025-01-11 03:06:13 pg-master            | 2025-01-10 20:06:13,349 INFO: Lock owner: None; I am postgresql0
2025-01-11 03:06:13 pg-master            | 2025-01-10 20:06:13,406 INFO: trying to bootstrap a new cluster
2025-01-11 03:06:13 pg-master            | The files belonging to this database system will be owned by user "postgres".
2025-01-11 03:06:13 pg-master            | This user must also own the server process.
2025-01-11 03:06:13 pg-master            | 
2025-01-11 03:06:13 pg-master            | The database cluster will be initialized with locale "en_US.utf8".
